MG1,ENGINE,MG2
-150,0,52
-313,0,83
-467,0,138
-620,0,171
-769,0,206
-921,0,239
-957,0,239
-941,0,244
-918,0,246
-943,0,241
159,107,-78
332,209,-138
478,316,-209
632,419,-284
786,526,-350
830,631,-376
873,678,-401
886,691,-385
850,685,-378
827,672,-391
-149,104,0
-229,210,0
-324,315,0
-441,422,0
-528,523,0
-589,630,0
-685,718,0
-736,719,0
-730,724,0
-700,720,0
164,0,-75
321,0,-78
483,0,-124
632,0,-174
784,0,-206
929,0,-231
915,0,-244
904,0,-241
915,0,-236
957,0,-243
0,105,-23
0,213,-60
0,318,-87
0,418,-106
0,524,-138
0,633,-152
0,706,-169
0,700,-168
0,706,-169
0,709,-172
-298,-173,115
-615,-250,215
-908,-344,322
-799,-396,314
-1005,-383,357
-926,-428,361
-949,-389,347
-895,-430,347
-916,-400,333
-883,-417,323
-158,106,0
-313,208,58
-488,316,91
-622,423,44
-788,529,71
-933,630,82
-940,700,65
-940,699,66
-959,699,71
-941,699,68
